PNR,DEP. DATE,TBO,TRIPEUR,LOSS,PERCENTLOSS,PASS/FAIL
ABB4QP,03-05-2018,10719.32,10849,-129.6800000000003,-1.209778232201299,PASS
QCPLYP,03-05-2018,5745,5889,-144,-2.506527415143603,PASS
I9KD9F,03-05-2018,2451.26,2569,-117.73999999999978,-4.803244045919232,PASS
VJGTMO,03-05-2018,11135.45,22532,-11396.55,-102.34476379490725,PASS
MYQT7T,03-05-2018,5358,5442,-84,-1.5677491601343785,PASS
UJPHSX,03-05-2018,4310.88,4381,-70.11999999999989,-1.6265820435734675,PASS
O8LY7Y,03-05-2018,10538.52,10679,-140.47999999999956,-1.3330145029852347,PASS
7V1WH2,29-04-2018,9668.5,10032,-363.5,-3.7596317939701094,PASS
P816UJ,29-04-2018,11261.84,11661,-399.15999999999985,-3.544358648320344,PASS
V3HTVM,29-04-2018,11198.6,11455,-256.39999999999964,-2.289571910774558,PASS
V4KXMN,29-04-2018,14771.18,15043,-271.8199999999997,-1.8402050479379422,PASS
PKLQLE,29-04-2018,112339.4,230972,-118632.6,-105.601952654189,PASS
ZS7GGW,29-04-2018,16375.09,16431,-55.909999999999854,-0.3414332379241876,PASS
AGRLJN,29-04-2018,3503.64,3623,-119.36000000000013,-3.406742701875767,PASS
SQX6BG,29-04-2018,18555,37936,-19381,-104.45163028833197,PASS
84N9T8,08-05-2018,4628.25,9820,-5191.75,-112.17522821800895,PASS
T8MAD9,08-05-2018,8025.64,8254,-228.35999999999967,-2.8453805553201943,PASS
KD7ETM,08-05-2018,6458.44,6578,-119.5600000000004,-1.8512210378977028,PASS
JC7YSP,08-05-2018,4165.16,4287,-121.84000000000015,-2.9252177587415646,PASS
OTWDJZ,08-05-2018,4555.22,4598,-42.779999999999745,-0.9391423465825962,PASS
S832W8,08-05-2018,23142.21,23756,-613.7900000000009,-2.6522531772030455,PASS
FE5DKW,09-05-2018,8348.48,8520,-171.52000000000044,-2.0545057303844585,PASS
GG266A,09-05-2018,7936.95,8064,-127.05000000000018,-1.6007408387352848,PASS
TLG1UE,09-05-2018,6188.44,6308,-119.5600000000004,-1.931989322026236,PASS
LR23MC,09-05-2018,3813.5,3831,-17.5,-0.45889602727153533,PASS
T6R7XG,09-05-2018,7215.26,14636,-7420.74,-102.84785302262149,PASS
839X9Y,09-05-2018,38184.84,38944,-759.1600000000035,-1.9881188450704614,PASS
PKTSQE,11-04-2018,2532.05,2642,-109.94999999999982,-4.342331312572809,PASS
M989SY,11-04-2018,5461.15,5594,-132.85000000000036,-2.432637814379762,PASS
YZSVPR,11-04-2018,5545.29,5784,-238.71000000000004,-4.304734288017399,PASS
K6P98J,11-04-2018,5545.29,5784,-238.71000000000004,-4.304734288017399,PASS
L961ST,11-04-2018,8493.06,8818,-324.9400000000005,-3.8259473028566915,PASS
Q93KXL,11-04-2018,4743.72,4857,-113.27999999999975,-2.38799929169512,PASS
X9I4TL,11-04-2018,3128.46,3242,-113.53999999999996,-3.6292616814662795,PASS
S2YRZE,11-04-2018,5375.3,5539,-163.69999999999982,-3.0454114188975465,PASS
CIH42V,11-04-2018,2490,9960,-7470,-300,PASS
752HHE,11-04-2018,5158.07,5334,-175.9300000000003,-3.4107718584664477,PASS
OG455Q,11-04-2018,5544.72,5694,-149.27999999999975,-2.6922910444530967,PASS
FIDVKX,11-04-2018,3848.26,3987,-138.73999999999978,-3.6052657564717503,PASS
R9LI2V,11-04-2018,5544.72,5694,-149.27999999999975,-2.6922910444530967,PASS
RB8SHS,11-04-2018,5010.78,5158,-147.22000000000025,-2.938065530715782,PASS
WGZJGT,11-04-2018,2176.32,2292,-115.67999999999984,-5.3153947948830975,PASS
WDQGSM,11-04-2018,5016.68,5049,-32.31999999999971,-0.644250779399916,PASS
KF2PGT,11-04-2018,4837.69,5048,-210.3100000000004,-4.347322792489813,PASS
LXBZCU,11-04-2018,5266.08,5498,-231.92000000000007,-4.404034879834717,PASS
OESF2T,11-04-2018,5517.73,5644,-126.27000000000044,-2.288441079936866,PASS
T932UL,11-04-2018,2037.07,2162,-124.93000000000006,-6.132828032419115,PASS
TWG2OY,24-04-2018,6837.99,6999,-161.01000000000022,-2.354639301900123,PASS
ZGPL6Q,24-04-2018,2965.56,3069,-103.44000000000005,-3.4880427305466775,PASS
CFL34A,24-04-2018,5949.77,6066,-116.22999999999956,-1.9535208924042369,PASS
WNLKRV,24-04-2018,4782.31,4954,-171.6899999999996,-3.5901060366224606,PASS
K1NF7Y,24-04-2018,5325.51,5629,-303.4899999999998,-5.698796922736034,PASS
RL6QRE,24-04-2018,7741.05,7854,-112.94999999999982,-1.4591043850640393,PASS
RLZIVZ,24-04-2018,7324.53,7480,-155.47000000000025,-2.1225935315986177,PASS
XHN68N,24-04-2018,3842.13,3963,-120.86999999999989,-3.145911252352208,PASS
BKB55B,24-04-2018,2085.93,2203,-117.07000000000016,-5.612364748577382,PASS
JDJCLJ,24-04-2018,7551.19,7632,-80.8100000000004,-1.0701624512163037,PASS
7TV1G6,24-04-2018,6812.05,7035,-222.94999999999982,-3.272876740481937,PASS
MMS8RK,24-04-2018,7980.58,8143,-162.42000000000007,-2.035190424756096,PASS
RCFTNW,24-04-2018,8314.13,8675,-360.8700000000008,-4.340442114809377,PASS
VZ8B12,04-05-2018,5571.6,5736,-164.39999999999964,-2.9506784406633577,PASS
SXRHLR,04-05-2018,2558.8,2741,-182.19999999999982,-7.120525246209153,PASS
T913JL,04-05-2018,7366.81,7490,-123.1899999999996,-1.6722299068389113,PASS
TIZWTA,04-05-2018,6602.16,6723,-120.84000000000015,-1.8303100803373464,PASS
R9N2SY,04-05-2018,3580.53,3602,-21.4699999999998,-0.5996318980709504,PASS
DN2R4C,04-05-2018,8296.35,8418,-121.64999999999964,-1.466307472563231,PASS
Z9MCJY,04-05-2018,1994.65,1999,-4.349999999999909,-0.21808337302283148,PASS
JIKCSK,04-05-2018,4408.88,4479,-70.11999999999989,-1.5904265936020008,PASS
GH27WA,04-05-2018,6342.06,6417,-74.9399999999996,-1.1816349892621576,PASS
UJWVKX,01-05-2018,8442.6,8574,-131.39999999999964,-1.5563925804846805,PASS
BW2G6Q,01-05-2018,10068.49,10314,-245.51000000000022,-2.4383994024923323,PASS
NFGPGT,01-05-2018,13511.88,13661,-149.1200000000008,-1.1036214057555338,PASS
ZF5042,01-05-2018,10108.56,10395,-286.4400000000005,-2.833638025594155,PASS
LVZZT6,01-05-2018,2161,4558,-2397,-110.92086996760759,PASS
X387MR,01-05-2018,9575.25,10057,-481.75,-5.031200229759014,PASS
E9E9NJ,01-05-2018,8934,9006,-72,-0.8059100067159166,PASS
VYZ4HZ,01-05-2018,9575.25,10057,-481.75,-5.031200229759014,PASS
PCW9MQ,01-05-2018,3486.5,3610,-123.5,-3.5422343324250685,PASS
MHICYA,01-05-2018,5310.8,5436,-125.19999999999982,-2.357460269639222,PASS
WWCH4J,01-05-2018,12379.5,12451,-71.5,-0.5775677531402722,PASS
TBRFCP,01-05-2018,5388.79,5545,-156.21000000000004,-2.898795462432198,PASS
5N5108,01-05-2018,10912.19,11154,-241.8099999999995,-2.2159621487529035,PASS
9260X8,28-04-2018,8225.46,17028,-8802.54,-107.01577784099614,PASS
O6536Q,28-04-2018,13013.12,13344,-330.8799999999992,-2.5426646338464503,PASS
7MV484,28-04-2018,9747.27,10031,-283.72999999999956,-2.9108663246221718,PASS
TB734C,28-04-2018,11706.95,11849,-142.04999999999927,-1.2133817945750112,PASS
C7R7KL,28-04-2018,12227.15,12372,-144.85000000000036,-1.1846587307753678,PASS
SOJZTF,28-04-2018,5566.62,5774,-207.3800000000001,-3.725420452626551,PASS
SVKLIL,28-04-2018,15641.25,16013,-371.75,-2.376728202669224,PASS
W53CYF,28-04-2018,5960.59,6065,-104.40999999999985,-1.7516722337889348,PASS
UVLJYL,28-04-2018,11631.43,11809,-177.5699999999997,-1.5266394587767773,PASS
IKCHMF,28-04-2018,5825.5,5938,-112.5,-1.9311647068921123,PASS
VFN27T,11-05-2018,4446.16,4556,-109.84000000000015,-2.4704464076866364,PASS
JTRL7E,11-05-2018,4829.5,4942,-112.5,-2.329433688787659,PASS
KLF6VR,11-05-2018,4476.88,4600,-123.11999999999989,-2.750129554511175,PASS
